評論者,評分,時間,內容,店家名稱,店家ID
六六小吃貨,5,11 個月前,"這次已經是五訪默爾了.ᐟ.ᐟ.ᐟ
喜歡義式料理的一定要ㄘ看看這間💕
除了餐點美味之外，質感的環境與優質的服務也是回訪這麼多次的原因，真的大力推薦給各位👍🏻👍🏻👍🏻

🍽️ 杜蘭小麥酥炸透抽 💰320
透抽鮮美多汁、口感Q彈，外層的麵衣是有點像日式天婦羅的炸法，微酥且不油膩～搭配店家的黃芥末醬真的很涮嘴😋

🍽️ 奶油燻鮭魚櫛瓜寬扁麵 💰330+20(寬扁麵)
一直很喜歡這間的寬扁麵，每次必點.ᐟ.ᐟ.ᐟQ彈有嚼勁的麵體，配上帶著蒜香的奶油醬，還有煙燻鮭魚的獨特香氣，鹹香美味又不膩口～還有個人覺得很加分的一點，就是鮭魚份量很夠，非常有誠意💕

🍽️ 蘑菇臘腸＋陽光夏威夷披薩 💰370
披薩餅皮非常有嚼勁，還散發淡淡麥香味～喜歡口味多變一點的人，很推薦這間的雙拼披薩～蘑菇臘腸口味有種鹹香的煙燻香氣，夏威夷口味完全就是老少咸宜的經典款，兩個口味都很不錯～

🍮 烤布蕾 💰165
這間的烤布蕾真的超！好！ㄘ！表層的炙烤焦糖帶著焦香與苦甜滋味，很喜歡ㄘ起來ㄎㄠˊㄎㄠˊ的脆感～下面的布蕾口感綿密而且散發細微蛋香，兩個味道融合得恰到好處，感覺ㄘ完可以再來一份🤤

🍰 伯爵生乳酪蛋糕 💰165
生乳酪帶著伯爵茶的獨特香氣，茶香很夠～中間有QQ的黑糖麻糬，還可以搭配旁邊的Oreo 碎碎跟米香～口感跟味道都非常有層次感，個人蠻喜歡的❤️

🍹 巧克力奶昔 💰180
巧克力奶昔十分濃郁，奶香蠻重的，口感挺綿密的～

🍹 紅肉火龍果氣泡飲 💰165
這杯喝起來偏酸，搭配氣泡很清爽～

🍹 春Spring 💰290
中午就喝得到調酒真的超加分！水蜜桃的甜蜜果香與可爾必思的乳酸香氣融合得恰到好處，酒感不重很好入口，蠻不錯的~
-
各方面都很優秀！一定會想再訪的店❤️

更多食記➡️IG：foodie.sixsix",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Rio,4,9 個月前,"服務和氣氛很好～

🌟奶油培根蕈菇義大利麵
培根是厚的那種，軟嫩中又帶了點脆的嚼勁，玉米筍和節瓜非常好吃！

🌟起司瀑布炸肉丸
味道比較偏燻腸味，裡面還有一個橄欖避免太膩，但個人比較不偏愛

🌟蘑菇臘腸+陽光夏威夷雙拼披薩
起司給很多，是可以牽絲的程度！但味道沒有到很對胃口",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Brenda,2,8 個月前,"附上完整菜單
QR Code 點餐
沒有披薩可以選
聽說機器壞掉
麵、飯都選硬
但都沒有硬
肉的調味很不行
尤其是鴨胸（柴、焦）
可line pay",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
張倚禎,5,11 個月前,"這次點了雙人套餐超滿足！
四騎士披薩鹹甜鹹甜很好吃，
義大利麵不是軟爛的那種也很棒，
整體體驗不錯，
首次加入line好友送脆薯
Goole評論再送飲料",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Chuchu Wei,5,11 個月前,整體都不錯～海鮮很新鮮義大利麵條的口感很讚軟硬適中醬料都扒在麵條上～～ 凱薩沙拉的培根讓我驚豔醬料也條的剛剛好生菜很脆很乾淨～再來是窯烤pizza餅皮也是夠薄而且很香 上面料很豐富飲料推焦糖拿鐵👍👍👍,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Joyce,5,11 個月前,"注意新店好久了，下午人不多，兩人點了凱薩沙拉，份量剛好適合兩人，蔬菜很新鮮脆爽，配上培根不會太鹹，沙拉醬配起司好吃！
經典義大利肉醬麵，我選的是細麵，很有嚼勁，配上調好的糊糊的番茄肉醬，超有義式媽媽咪呀風格😆
另外辣炒野菇蝦仁，走的是蒜味爆炒路線，不過我是重口味，感覺少了一點鹽又少了義大利醋，不過扳回一城的是蝦仁很大野菇很多，主廚還是誠意滿滿。
最後上的是瑪格麗特pizza，我喜歡她是中庸風格，不是厚片也不是薄餅，剛剛好的軟度，讓人很有飽足感。
服務人員很親切，也有耐心介紹菜單，價位不高，很適合年輕人約會聚餐。
我很推薦下次還會再來吃吃別的菜😋
❤️❤️❤️4/5 2024再訪❤️❤️❤️
週五有駐唱歌手誒！唱歌很好聽，終於不用來到信義新天地還得忍受難聽的街頭藝人表演，進餐廳用餐還能點歌，的確是個賣點，這樣我會買單👍
另外這次新點的蜜瓜生火腿前菜很爽口，配著比利時天使啤酒真是一絕。
而家人點的松露牛肉燉飯和另外蘆筍培根燉飯都是好吃的哦！
我則是義大利番茄蔬食麵，清爽無負擔👍
最後值得嘉獎的就是寵物友善，裝袋可露頭出來跟我們一起用餐，太棒了👏👏👏",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Alex青鳥（鶄）,5,9 個月前,"有駐唱歌手很有氣氛～ 跟直接放音樂有差
很適合情侶來

義大利麵不錯吃！ 不過蛤蜊很普 有點乾
附贈的麵包也不錯吃
起司櫛瓜超好吃！！ 推推～
不過很意外沒有提供刀子 吃批薩有點難搞
批薩還ok 就味道沒有到很濃",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Judy Lee,5,11 個月前,"從信義誠品時期到現在，
從來不會讓人失望的義大利餐廳。
家庭聚餐的好選擇。老老小小都找得到想吃又好吃的餐點。
手作餐點風味十足。披薩的杜蘭小麥越嚼越香。
不過這次來到威秀店，覺得份量似乎有稍稍減少了一點。
但口味還是超級好吃❤️",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
顏禎儀,5,2 個月前,"義大利麵軟硬適中，口味多樣，麵包炸雞好吃
辣味橄欖油神來之筆
服務態度很好，感謝Eddie的服務👍",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
彭令嘉,5,6 個月前,餐點份量大，氣氛佳，很適合家庭朋友聚餐，有機會會再光顧🥰,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
liu asan,4,3 個月前,Pizza真的很好吃，義大利麵中規中矩，服務很好，推薦大家來試試,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
邊季（吐司邊邊）,3,1 年前,"我看了很多這個餐廳的評論發現全部都是五星，看來是之前也是有一樣的狀況寫評論然後會送飲料，所以我就來這邊寫出一些比較真實的評論。
這個餐廳之前是Bellini，後來他們撤出之後就變成默爾pasta披薩，所以不意外跟上一間餐廳是同一個類型的。
用餐環境來說算是蠻舒適的，而且這間業者很有心的也請來了駐唱歌手，但是這件事情也算是一種雙面刃，可能對於一般的客人來說能在裡面聽到現場演唱是一個很加分的設施，但是對於演唱這方面比較要求的人，卻是大大扣分。（我們去吃那一天的歌手唱歌走音啊，音很漂啊，很多不必要的技巧啊各種都來，但是這個評論不是唱歌評論，所以也不多做贅述）會講到這件事情也是因為我們已經很盡力的去忽視演唱者的歌聲的尬聊，但是卻會一直被表演的缺點之類的打斷都會不由自主往台上瞄一下😂😂😂
餐點的部分就真的幾乎都是平均值左右，燉飯完全不像燉飯比較像是燴飯，燉羊膝有吃過的應該都知道是軟嫩的，但是這間做出來卻是硬的😩，值得稱讚的是服務生得知用餐的缺點後有想要進一步處理而不是問問就算了。👍🏻所以對於服務來說他們基本上該做的都有做到。
他們餐廳的定位和他價格的制定上我覺得是吻合的，所以撇除以上我講的一些缺點，如果你不介意的話是可以來試看看的。

問我好吃嗎？我說：普通偏差
問我划算嗎？我說：還好",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Dana,5,1 年前,"好好吃呀(´・н・｀)ﾑｽｯ
當日是情人節，只想吃瑪格麗特口味的披薩，剛好這個口味是心型的（活動的樣子）
真好✩︎°｡⋆︎⸜(ू｡•ω•｡)
餐前麵包也好吃よ
我們點了鳳梨氣泡࿒ℓ࿆࿆࿆︎ෆ࿆౮࿆୧࿆♡࿆︎༝࿆༚࿆༝࿆༚࿆ ࿒
燉飯也是用心的料理呢",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Chun Chen,5,3 個月前,"奶昔太讚了✨服務生上餐與收盤動作輕柔。
EDDIE服務周到ʕ •ᴥ•ʔ👍🏻",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Z S,5,1 年前,"By：不囉嗦發車囉x食旅日常🚘
🔍IG：buloso_0428

台北-默爾pasta pizza
今年7月在信義威秀2樓新開幕的默爾
餐廳整體環境充滿格調、又典雅
很推薦情侶看完電影後一起享受兩人時光❤️
不囉嗦～趕快來推薦餐點給大家！

✅西班牙廣場＋羅勒青醬燻雞野菇披薩 $450
有選擇障礙朋友超推薦你點拼盤🍕
可以一次吃到兩種口味⬇️
→西班牙廣場
內含莫札瑞拉起司、煙燻鮭魚、黑橄欖、酸豆、紫洋蔥、生菜
鮭魚控必點！不能錯過！
超喜歡充滿煙燻味的鮭魚🐟

→羅勒青醬燻雞野菇披薩
內含莫札瑞拉起司、煙燻雞肉、野菇、羅勒青醬
煙燻雞肉和野菇用料完全不手軟
整體搭配羅勒青醬超清爽

✅清炒綜合海鮮義大利麵 $440
綜合海鮮有蛤蜊＋透抽＋四隻大蝦🦐
義大利麵每一口都有滿滿的鮮味
辣度點了小辣、非常的清爽開胃

✅慢烤牛胸松露燉飯 $400
超大片的牛胸肉🐂
口感吃起來扎實帶勁
肉質帶點油花，吃起來滿juicy的💦
燉飯也有滿滿松露味
喜歡松露的朋友推薦你吃吃看！

✅奇異果氣泡飲 $160
氣泡飲有滿滿的奇異果果肉🥝
用湯匙撈到好多奇異果
邊喝飲料邊吃水果、補充維他命c👍

✅皇家莓果果粒茶 $170
整壺放在蠟燭台上加熱♨️
熱熱喝讓人感到非常地舒服放鬆
飯後來杯酸酸的無糖莓果茶很解膩！

✅提拉米蘇 $160
含酒精0.1%程度的提拉米蘇
嚐起來帶點淡淡的酒香味🍷
超喜歡這款大人味提拉米蘇",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
莊涵雅,5,1 年前,餐包外酥內軟，餐盤是溫的，對剛從電影冷氣房出來的我簡直溫暖到心裡去，奶油培根蕈菇義麵香濃好吃，店內目前有活動，招待飲品跟點心，奇異果氣泡飲酸得帶勁、點心一點也不馬虎，很好吃！,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Tina Chang,5,11 個月前,"位於信義威秀二樓看起來很Chill 的空間，很幸運今天（週四）剛好有現場駐唱！
餐點沒有雷，每一道都好好吃！CP很高！有機會會再回訪！
小林主廚好厲害！",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Jennifer Chia-fen,5,4 個月前,和朋友選擇在默爾聚會，餐點真的好吃，不管是前菜、主餐或甜點味道都超好！朋友的小孩生日吃到他們的甜點開心得不得了！,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
王雅茹,5,4 個月前,今天點了清炒義大利麵，因為我不吃蝦所以他們幫我把蝦換成中卷，順便幫我客制炒辣，麵條雖然說是細麵但也不會過於軟爛。服務態度很棒。餐前麵包配的是青醬加美乃滋的口感，麵包表層烤的酥酥，是我愛的歐式麵包口感很有嚼勁又不會咬不動～,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Cindy Lin,1,6 個月前,"滿懷期待地和朋友來
從一開始詢問店員有沒有位子的時候那個長馬尾小眼睛的店員 臉部表情馬上大變非常明顯變得失落又不耐煩和我們講話的時候態度始終如一
剛開始還讓我懷疑是不是因為我們讓她薪水
變少之類的
不知道是誰傷害她 但她也不該發洩在無辜的客人身上
而且餐點非常不符合價格
燉飯選擇了偏軟的選項
結果吃起來根本只是一般偏硬的飯加醬而已
肉也偏乾柴
剩了一半
很失望",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
_ Sh,4,1 年前,"過了飯點才到店用餐，店裡沒有什麼人，當然服務人員也不太多，在這樣的狀況下還是要登錄電話和姓氏才入座個人是覺得有點奇怪（服務生沒有強硬要求，也有問我是否可登記後再入座，但就是覺得沒人候位的時候仍要依這個流程很怪），再加上服務人員並不會主動介紹餐點（因此想知道當日濃湯還要自己跑去找服務人員），點餐也是自行掃碼，我會覺得服務費的部分稍微有點牽強。
餐前麵包外酥內軟、熱騰騰的，讓人吃起來很舒適，麵包抹醬微酸且不膩，非常開胃！
肉醬麵的部分番茄的酸味十分強烈，絞肉也給的算是大方，個人覺得略為可惜的部分是起司只是點綴，份量不足以對義大利麵起到畫龍點睛的效果，顯得可有可無，大蒜丁也比我預期的還要大，不喜歡直接吃大蒜的人一口吃進去會有點不適。
總體而言用餐體驗不錯，餐點符合預期。",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Albert O,5,11 個月前,"餐點好吃
松露野菇鮮蔬燉飯
燉飯口感偏硬，個人蠻喜歡的，整體味道調味適中，推一個👍

水牛城辣雞翅
炸過後還保留juice👍

海鮮烘蛋
個人覺得普普，感覺是快炒店可以做出來的。

煎烤時蔬
很特別的是多了一股蜂蜜的味道，個人覺得蠻搭的，推一個👍",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Maggie Ho,5,3 個月前,服務人員Eddie 非常親切，用餐環境乾淨舒服，很有過節氣氛，餐點也好吃，下次有機會來！,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Jessi Chen,5,11 個月前,"點的餐點 都是熱呼呼來的（這好讚）
無敵美味😋
加line好友送的薯條 也完全不馬虎
值得推薦給好友的餐廳
週一到週四 晚上還有駐唱 氣氛很優",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Cateland,1,5 個月前,"上週末跟朋友去吃，點了紅醬蔬食義大利麵。
吃了圖中的那一片櫛瓜，發現是苦澀的，當下以為是調味什麼的沒多想，而且只有吃一片，結果隔天一大早瘋狂拉肚子💩😇

朋友之前也來過這間吃，隔天也是拉肚子，我看評論區也有很多食材不新鮮拉肚子的事件，感覺餐廳食材不新鮮是常態😇
到底有沒有正確食材管理保存，有沒有使用過期或是不良的食材呢？ 這可能需要相關的機關實際去檢驗！！！！

希望餐廳看到可以趕緊改進，不希望又有人帶著愉快的心情去吃飯，結果隔天拉肚子影響所有行程。 以上🙂",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
法蘭克福,5,6 個月前,口味用料感覺比較一般，但是環境跟服務人員非常好,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
林栗,1,3 個月前,"因為在附近特地先打電話過來，店員告知先來現場，目前可以用餐，馬上走過來5分鐘。
另一個店員告知今天都滿了？只能現場後位超過一個小時？
我問說為什麼電話我有問，卻不說清楚，店員說我們都會請人來現場候位？
到底是什麼意思？耍人來現場排隊嗎？
第一次遇到這種餐廳，荒謬至極",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
yoyo Chen,5,11 個月前,"食物美味 種類選擇多元 環境舒適
服務人員親切又貼心
非常推薦 喜歡 讚讚哦",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Yuxuan Lin,3,1 年前,"用餐日期：2024/02/11 16:00
用餐人數：2
店內用餐時間：限時90分鐘 ( 後續沒有客人則不限用餐時間 )

🫓法式小圓法麵包 ( 點燉飯附
麵包熱呼呼剛出爐非常好吃！配上附贈帶有羅勒香氣的麵包沾醬相得益彰👍

🦑炭烤透抽佐時蔬 💰450
透抽本身沒有味道，走的是清淡健康路線，只有透抽本身淡淡的香味，透抽本身偏韌；相較之下，高麗菜比較有味道，但是焦焦的部分偏多，大部分高麗菜需要切，不然菜本身連在一起不好直接入口。

🍝干貝明太子奶油燉飯 💰480
干貝鮮嫩、蛤蜊飽滿，可惜份量只有各三顆。
燉飯口感雖然選擇偏軟，但吃起來還是偏硬，是快可以吃到米心的程度，明太子的話可能融在燉飯裡面了，實際上並沒有看到。

🍕漁夫海鮮+茴香豬肉披薩 💰470
披薩的口味是今天吃下來味道最重的，吃起來很滿足，雙拼的選擇可以滿足有選擇障礙的人，海鮮鮮味十足，豬肉也很入味🐖

🍅精選濃湯 ( 蕃茄 ) 💰80
像蕃茄罐頭調製而成，濃稠且口味重。( 如果點透抽或其他料理覺得味道不夠可以當作醬料使用 )

總結：整體吃下來覺得披薩最好吃，服務人員態度不錯，可惜有看到內場人員的口罩掛在下巴位置，雖然是後疫情時代，但是邊聊天邊工作，可能或多或少還是有衛生疑慮。另外，餐點的部分會一次全部上，有點措手不及，希望可以慢慢上，不要那麼趕。",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
AJ,1,2 週前,"從來沒有吃過這麼難吃的餐廳
點了8份以上的主餐每一份都難吃得令人驚艷，不敢相信這家店的高評價是怎麼來的

-義大利肉醬麵像是微波的冷凍食品，鹹到不行，也看不到肉醬在哪裡
-青醬類的餐點完全沒有味道還說是因為最近有調整過配方？這麼難吃的配方還敢收顧客錢？店家解決方案是拿出辣橄欖油給顧客自行加料，是不是應該先檢討煮的太難吃
-兒童餐看起來超級像狗食，也是難吃到不可思議
-松露燉飯味道超級詭異，長這麼大沒有吃過這麼怪異的味道
-單點冰紅茶像兌水過，根本沒有茶味
-松露薯條簡直經典，松露醬是酸的味道非常臭超級可怕

結論：菜單上點了這麼多樣菜卻沒有一個是入得了口的餐點，拜託大家千萬不要來，真的拜託把錢省下來吃別的",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
林柏鈞,5,2 週前,氣氛好，食物美味，推薦海鮮披薩，感謝Eddie的親切服務，有一個愉快的晚餐時光,默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
Lou Chen,2,1 年前,"以往都會吃原本在這的貝里尼，這次換了一間新的義大利餐廳來試吃看看，只能說沒有比較沒有傷害。

這次一共點了肉醬麵跟鴨胸燉飯，以及前菜薯條等，在還沒吃到的時候就已經不太滿意，一間主食約350～450的店，菜都是瘋狂的塞上桌，完全不注意客人在吃的狀況，連前菜的麵包都還沒吃完，主菜就來了，雖然速度很快（不到十分鐘吧）但感覺沒有好好注意客人的用餐流程，如果是薩莉亞的話完全不會介意，但這種中價位的餐廳實在是感受不到用心的服務。
再來是主食，肉醬義大利麵中規中矩，鴨胸燉飯偏失望，因為鴨胸這種肉本身偏柴，大部分的鴨肉料理都是切成薄片，但這邊是厚的……所以就把鴨肉的缺點放大了，然後燉飯米沒有吸飽湯汁那種外軟內q的感覺，只感覺是微硬的米，有點乾，個人不是很喜歡。
裡面覺得最好吃的是烤布蕾，焦糖味焦的感覺偏重。

整體來說我們算是點了一整個套餐，平均一人七百左右，但是CP值偏低，餐點撐不起價格，服務人員算親切但是送餐流程覺得可以加強，希望在改進，因為好吃的義式餐廳真的很多。",默爾 pasta pizza(台北信義威秀店),ChIJpzAkec2rQjQRLYceVmNNtq4
